Q,A
What is the Prerequisite for using the Career Portal?,The learner needs to complete an aligned course on the FSP platform. Kindly visit  https://futureskillsprime.in/courses-and-pathways
What are the Prerequisite for using the Career Portal?,The learner needs to complete an aligned course on the FSP platform. Kindly visit  https://futureskillsprime.in/courses-and-pathways
List the Prerequisite for using the Career Portal?,The learner needs to complete an aligned course on the FSP platform. Kindly visit  https://futureskillsprime.in/courses-and-pathways
List of Aligned Courses?,Kindly visit https://futureskillsprime.in/courses-and-pathways
List the Aligned Courses available?,Kindly visit https://futureskillsprime.in/courses-and-pathways
What are the Aligned Courses available?,Kindly visit https://futureskillsprime.in/courses-and-pathways
Is there a Job Guarantee?,No guarantee of a job - you get access to a rich pool of employers who prefer NASSCOM certified candidates..
What is the job Guarantee?,No guarantee of a job - you get access to a rich pool of employers who prefer NASSCOM certified candidates..
What is the job assurance?,No guarantee of a job - you get access to a rich pool of employers who prefer NASSCOM certified candidates..
Is there an assurity of job?,No guarantee of a job - you get access to a rich pool of employers who prefer NASSCOM certified candidates..
How to apply for a Job?,"On the Career Portal please update your course completion and educational qualification details, the available jobs would show on the home page."
What is the procedure to apply for a job?,"On the Career Portal please update your course completion and educational qualification details, the available jobs would show on the home page."
How can I prepare for my Interview?,Visit the Interview mantra page on FSP platform Link: https://learn.futureskillsprime.in/teams/interview-mantra
How to prepare for Interview?,Visit the Interview mantra page on FSP platform Link: https://learn.futureskillsprime.in/teams/interview-mantra
How to present ourself in an interview?,Visit the Interview mantra page on FSP platform Link: https://learn.futureskillsprime.in/teams/interview-mantra
What are some interview tips?,Visit the Interview mantra page on FSP platform Link: https://learn.futureskillsprime.in/teams/interview-mantra
Can this portal help me build my Resume/CV?,"Yes, the portal has a feature to help build your Resume/CV."
Does the career portal helps in building Resume/CV?,"Yes, the portal has a feature to help build your Resume/CV."
Only if completed a paid course will I be eligible for a Job?, You can apply for a job after completing either a free or a paid aligned course.
Is completion of a paid course mandatory for job application?, You can apply for a job after completing either a free or a paid aligned course.
What is the eligibility to apply for a job?, You can apply for a job after completing either a free or a paid aligned course.
Can we apply for a job after completing only free courses?, You can apply for a job after completing either a free or a paid aligned course.
 Can we apply for a job after completing either a free or a paid aligned course?, You can apply for a job after completing either a free or a paid aligned course.
Is there a cost for availing Career Portal Services?,"There is no cost/ fees for applying, except completing an aligned course."
What is the cost for availing Career Portal Services?,"There is no cost/ fees for applying, except completing an aligned course."
Is there a cost for completing aligned courses?,"There is no cost/ fees for applying, except completing an aligned course."
Is applying for a career portal service free?,"There is no cost/ fees for applying, except completing an aligned course."
How can I edit/update my profile on Career Portal?,The option is available on the edit profile tab in your Career Portal profile section.
How to update my profile on Career Portal?,The option is available on the edit profile tab in your Career Portal profile section.
Can we edit our profile on career portal?,The option is available on the edit profile tab in your Career Portal profile section.
Where can we update our profile on career portal?,The option is available on the edit profile tab in your Career Portal profile section.
Where can I find the prerequisites for using career portal?,The learner needs to complete an aligned course on the FSP platform. Kindly visit  https://futureskillsprime.in/courses-and-pathways
How can I contact the VILT partner?,"The partners can be reached at the following email address:
CloudThat Technologies: vasishta@cloudthat.com
Naresh iTechnologies:  onlinetraining@nareshit.com"
How to reach the VILT partner?,"The partners can be reached at the following email address:
CloudThat Technologies: vasishta@cloudthat.com
Naresh iTechnologies:  onlinetraining@nareshit.com"
Can I get the email address of the VILT partner?,"The partners can be reached at the following email address:
CloudThat Technologies: vasishta@cloudthat.com
Naresh iTechnologies:  onlinetraining@nareshit.com"
How to connect with the VILT partner?,"The partners can be reached at the following email address:
CloudThat Technologies: vasishta@cloudthat.com
Naresh iTechnologies:  onlinetraining@nareshit.com"
